,Domain,Phylum,Class,Order,Family,Genus
OTU84,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
OTU89,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Unclassified
OTU88,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unclassified,Unclassified
OTU14,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Unclassified
OTU15,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
OTU16,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Micrococcus
OTU17,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,Lupinus
OTU10,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Unclassified
OTU11,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unclassified,Unclassified
OTU12,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Kurthia
OTU13,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
OTU18,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
OTU19,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax
OTU98,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus
OTU99,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Unclassified
OTU94,Bacteria,Cyanobacteria,Chloroplast,Streptophyta,Unclassified,Unclassified
OTU95,Bacteria,Firmicutes,Clostridia,Clostridiales,[Tissierellaceae],Sporanaerobacter
OTU96,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium
OTU97,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unclassified
OTU90,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Unclassified
OTU91,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Unclassified
OTU92,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas
OTU93,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Unclassified
OTU61,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
OTU60,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Unclassified
OTU63,Bacteria,Cyanobacteria,Synechococcophycideae,Pseudanabaenales,Unclassified,Unclassified
OTU62,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Unclassified,Unclassified
OTU65,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Proteus
OTU64,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium
OTU67,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter
OTU66,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Pseudoalteromonadaceae,Pseudoalteromonas
OTU69,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Sporosarcina
OTU68,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidocella
OTU72,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Unclassified
OTU73,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
OTU70,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Arcobacter
OTU71,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unclassified,Unclassified
OTU76,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Sporosarcina
OTU77,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
OTU74,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Unclassified
OTU75,Bacteria,Firmicutes,Bacilli,Bacillales,Unclassified,Unclassified
OTU78,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
OTU79,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteibacter
OTU8,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,Zea
OTU9,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Unclassified
OTU6,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Unclassified
OTU7,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unclassified
OTU4,Bacteria,Cyanobacteria,Chloroplast,Streptophyta,Unclassified,Unclassified
OTU5,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Ralstonia
OTU2,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Unclassified
OTU3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
OTU1,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Aliivibrio
OTU49,Bacteria,Cyanobacteria,Chloroplast,Streptophyta,Unclassified,Unclassified
OTU48,Bacteria,Cyanobacteria,Chloroplast,Streptophyta,Unclassified,Unclassified
OTU47,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
OTU46,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium
OTU45,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Vagococcus
OTU44,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Aliivibrio
OTU43,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter
OTU42,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Macrococcus
OTU41,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Unclassified
OTU40,Bacteria,Cyanobacteria,Chloroplast,Streptophyta,Unclassified,Unclassified
OTU116,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
OTU117,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
OTU114,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Unclassified
OTU115,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Unclassified
OTU112,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unclassified
OTU113,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter
OTU110,Bacteria,Cyanobacteria,Chloroplast,Streptophyta,Unclassified,Unclassified
OTU111,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
OTU118,Bacteria,Firmicutes,Clostridia,Clostridiales,[Tissierellaceae],Anaerococcus
OTU119,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Unclassified
OTU58,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Moritellaceae,Moritella
OTU59,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas
OTU50,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Unclassified
OTU51,Bacteria,Cyanobacteria,Chloroplast,Streptophyta,Unclassified,Unclassified
OTU52,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Unclassified
OTU53,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Gluconacetobacter
OTU54,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Aliivibrio
OTU55,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
OTU56,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium
OTU57,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium
OTU105,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium
OTU104,Bacteria,Firmicutes,Clostridia,Clostridiales,[Tissierellaceae],Sporanaerobacter
OTU107,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
OTU106,Bacteria,Cyanobacteria,Chloroplast,Streptophyta,Unclassified,Unclassified
OTU101,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Unclassified
OTU100,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
OTU103,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
OTU102,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Unclassified
OTU109,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Unclassified
OTU108,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Saccharopolyspora
OTU29,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium
OTU28,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Enhydrobacter
OTU25,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Aliivibrio
OTU24,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
OTU27,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Unclassified
OTU26,Bacteria,Firmicutes,Bacilli,Lactobacillales,Unclassified,Unclassified
OTU21,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU20,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
OTU23,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Unclassified
OTU22,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Serratia
Others,Others,Others,Others,Others,Others,Others
